layer,avg_baseline_logits,avg_our_logits
0,"tensor(-4.8610, device='cuda:0')","tensor(-3.9867, device='cuda:0')"
1,"tensor(-4.4242, device='cuda:0')","tensor(-4.3465, device='cuda:0')"
2,"tensor(-4.4918, device='cuda:0')","tensor(-4.8956, device='cuda:0')"
3,"tensor(-4.6718, device='cuda:0')","tensor(-4.4265, device='cuda:0')"
4,"tensor(-4.6914, device='cuda:0')","tensor(-4.4801, device='cuda:0')"
5,"tensor(-4.8163, device='cuda:0')","tensor(-4.7865, device='cuda:0')"
6,"tensor(-4.4424, device='cuda:0')","tensor(-4.2581, device='cuda:0')"
7,"tensor(-4.4147, device='cuda:0')","tensor(-3.6289, device='cuda:0')"
8,"tensor(-4.0622, device='cuda:0')","tensor(-4.2526, device='cuda:0')"
9,"tensor(-4.2298, device='cuda:0')","tensor(-3.3179, device='cuda:0')"
10,"tensor(-4.3997, device='cuda:0')","tensor(-3.2369, device='cuda:0')"
11,"tensor(-4.3113, device='cuda:0')","tensor(-3.2294, device='cuda:0')"
12,"tensor(-4.1473, device='cuda:0')","tensor(-2.8469, device='cuda:0')"
13,"tensor(-4.4344, device='cuda:0')","tensor(-3.2025, device='cuda:0')"
14,"tensor(-4.4969, device='cuda:0')","tensor(-3.8727, device='cuda:0')"
15,"tensor(-4.4769, device='cuda:0')","tensor(-3.1979, device='cuda:0')"
16,"tensor(-4.6485, device='cuda:0')","tensor(-3.5849, device='cuda:0')"
17,"tensor(-4.5732, device='cuda:0')","tensor(-3.2636, device='cuda:0')"
18,"tensor(-4.5234, device='cuda:0')","tensor(-3.3970, device='cuda:0')"
19,"tensor(-4.3920, device='cuda:0')","tensor(-2.9464, device='cuda:0')"
20,"tensor(-4.2136, device='cuda:0')","tensor(-3.7539, device='cuda:0')"
21,"tensor(-3.8247, device='cuda:0')","tensor(-3.9741, device='cuda:0')"
22,"tensor(-3.9367, device='cuda:0')","tensor(-5.2022, device='cuda:0')"
